json_key,internal_property,struct_offset,possible_values,property_set_key,evidence
timestamp_enable,g_config+0xd74,0xd74,0 / 1,(local file only),boolean gate
night,g_config+0xd70,0xd70,0 / 1 (night-vision / infrared cut),night,boolean gate
microphone,g_config+0xd64,0xd64,0 / 1,microphone,boolean gate
microLight,g_config+0xd68,0xd68,0 / 1,microLight,boolean gate
cameraLight,g_config+0xd6c,0xd6c,0 / 1,cameraLight,boolean gate
addWaterSwitch,g_config+0x1508,0x1508,0 / 1 (manual add-water trigger),addWaterSwitch,boolean gate
addWaterMode,g_config+0x150c,0x150c,verbatim int (default 2) - likely enum: schedule vs auto-refill mode,addWaterMode,no clamp; semantics inferred from name+default
autoWaterChange,g_config+0x1510,0x1510,0 / 1,autoWaterChange,boolean gate
waterChangeCycle,g_config+0x1514,0x1514,"verbatim int, unit = days (default 1)",waterChangeCycle,no clamp; semantics
waterChangeTime,g_config+0x1518,0x1518,"verbatim int, unit = seconds-of-day (default 32400 = 09:00)",waterChangeTime,no clamp; semantics
lightMode,g_config+0x143c,0x143c,"0 / 1 / 2 - 1=scheduled (uses lightMultiRange window), other values bypass window check",lightMode,confirmed: consumer at 0x9a196 gates window-cmp on value==1
lightMultiRange,-,-,range (ignored) - time-window pairs for lightMode==1,lightMultiRange,"array/table, out of scope for offset-join"
smartFrame,g_config+0x14f8,0x14f8,0 / 1,smartFrame,boolean gate
vomitDetection,g_config+0x13c8,0x13c8,0 / 1,vomitDetection,boolean gate
cleanWaterLackLight,g_config+0x14c0,0x14c0,0 / 1,cleanWaterLackLight,boolean gate
cleanWaterEmptyLight,g_config+0x14c4,0x14c4,0 / 1,cleanWaterEmptyLight,boolean gate
wasteWaterFullLight,g_config+0x14c8,0x14c8,0 / 1,wasteWaterFullLight,boolean gate
wlDisturbMode,g_config+0x14cc,0x14cc,0 / 1 / 2 - 1=scheduled (uses wlDisturbMultiRange window),wlDisturbMode,confirmed: consumer at 0x9a37a gates window-cmp on value==1
wlDisturbMultiRange,-,-,range (ignored) - time-window pairs for wlDisturbMode==1,wlDisturbMultiRange,"array/table, out of scope for offset-join"
toneMode,g_config+0x1468,0x1468,0 / 1 / 2 - 1=scheduled (uses toneMultiRange window),toneMode,confirmed: consumer at 0x998f0 gates window-cmp on value==1
toneMultiRange,-,-,range (ignored) - time-window pairs for toneMode==1,toneMultiRange,"array/table, out of scope for offset-join"
awDisturbMode,g_config+0x1494,0x1494,0 / 1 / 2 - 1=scheduled (uses awDisturbMultiRange window),awDisturbMode,confirmed: consumer at 0x99b60 gates window-cmp on value==1
awDisturbMultiRange,-,-,range (ignored) - time-window pairs for awDisturbMode==1,awDisturbMultiRange,"array/table, out of scope for offset-join"
manualLock,g_config+0xd80,0xd80,0 / 1,manualLock,boolean gate
camera,g_config+0xc10,0xc10,0 / 1 (camera stream enable),camera,boolean gate
cameraMultiRange,-,-,range (ignored) - camera-active time windows,cameraMultiRange,"array/table, out of scope for offset-join"
lightAssist,g_config+0xc64,0xc64,0 / 1,lightAssist,boolean gate (offset only confirmed via wire path)
lightAssistMultiRange,-,-,range (ignored) - time-window pairs for lightAssist,lightAssistMultiRange,"array/table, out of scope for offset-join"
distrubMultiRange,-,-,range (ignored) - legacy/global disturb time window,distrubMultiRange,"array/table, out of scope for offset-join"
wifiLightAssistMultiRange,-,-,range (ignored) - time-window pairs (wifi variant),wifiLightAssistMultiRange,"array/table, out of scope for offset-join"
cameraRangeTable,-,-,range (ignored) - per-weekday sub-range table for camera,cameraRangeTable,"array/table, out of scope for offset-join"
lightRangeTable,-,-,range (ignored) - per-weekday sub-range table for light,lightRangeTable,"array/table, out of scope for offset-join"
toiletLightRangeTable,-,-,"range (ignored) - per-weekday sub-range table (toiletLight, legacy naming)",toiletLightRangeTable,"array/table, out of scope for offset-join"
schedule,-,-,range (ignored) - feed/action schedule entries,schedule,"array/table, out of scope for offset-join"
moveDetection,-,-,0 / 1 (presumed),(unconfirmed),"unconfirmed - only 1 xref in whole binary (status-report string), no setter/offset found; possibly dead/legacy key"
moveSensitivity,g_config+0x135c,0x135c,verbatim int (default 0) - likely enum 1/2/3 (low/med/high),moveSensitivity,no clamp; semantics inferred from name
detectInterval,g_config+0x1400,0x1400,"verbatim int, unit = seconds (default 0)",detectInterval,no clamp; semantics
detectMultiRange,-,-,range (ignored) - time-window pairs for moveDetection/petDetection,detectMultiRange,"array/table, out of scope for offset-join"
soundEnable,g_config+0x142c,0x142c,0 / 1,soundEnable,boolean gate
systemSoundEnable,g_config+0x1430,0x1430,0 / 1,systemSoundEnable,boolean gate
volume,g_config+0x1434,0x1434,verbatim int 0-100 (default 5),volume,no clamp; semantics
selectedSound,g_config+0x1438,0x1438,"verbatim int, -1 = none/unset (index into sound list)",selectedSound,no clamp; semantics
upload,g_config+0xd7c,0xd7c,0 / 1 (cloud video upload enable),upload,boolean gate
disturbMode,g_config+0xcbc,0xcbc,0 / 1 (presumed master do-not-disturb toggle),disturbMode,no clamp; semantics
wifiLightAssist,g_config+0xd10,0xd10,0 / 1,wifiLightAssist,boolean gate
preLive,g_config+0xc08,0xc08,0 / 1 (pre-roll live buffer),(local file only),boolean gate
petDetection,g_config+0xc0c,0xc0c,0 / 1,petDetection,boolean gate
voice,g_config+0xc04,0xc04,0 / 1,voice,boolean gate
log_upload,g_config+0xd84,0xd84,0 / 1,(local file only),boolean gate
drinkDetection,g_config+0x151c,0x151c,0 / 1,drinkDetection,boolean gate
flushIntensity,g_config+0x1520,0x1520,verbatim int (default 2) - likely enum 1/2/3 (low/med/high),flushIntensity,no clamp; semantics inferred from name
autoFlush,g_config+0x1524,0x1524,0 / 1,autoFlush,boolean gate
flushTime,g_config+0x1528,0x1528,"verbatim int, unit = seconds-of-day (default 36000 = 10:00)",flushTime,no clamp; semantics
flushCycle,g_config+0x152c,0x152c,"verbatim int, unit = hours or times/day (default 1)",flushCycle,no clamp; semantics
fountainMode,g_config+0x1530,0x1530,verbatim int (default 1) - likely enum (e.g. normal/smart/sleep mode),fountainMode,"no clamp; simple getter, no consumer clamp found"
fountainTime,g_config+0x1534,0x1534,verbatim int (default 3) - likely enum (running-time preset),fountainTime,"no clamp; simple getter, no consumer clamp found"
sleepTime,g_config+0x1538,0x1538,verbatim int (default 3) - likely enum (sleep-schedule preset),sleepTime,"no clamp; simple getter, no consumer clamp found"
heaterSwitch,g_config+0x153c,0x153c,0 / 1,heaterSwitch,boolean gate
targetTemp,g_config+0x1540,0x1540,"verbatim int, likely deci-Celsius (default 300 = 30.0 C)",(local file only),no clamp; semantics
capacity,-,-,range (ignored) - per-feature storage-plan entries (fullVideo/eventImage/highLight/dynamicVideo),capacity,"array/table, out of scope for offset-join"
